Club,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,22/23
Arsenal,-91.18,-24.0,-102.65,9.15,-71.05,-107.15,-66.85,-136.0,-168.56
Aston Villa,-345.63,-12.14,-1.85,-39.7,15.03,-2.95,-156.5,-2.8,-46.14
Chelsea,5.11,-9.01,-23.9,-65.9,-125.55,112.27,-190.05,30.94,-543.66
Crystal Palace,-241.59,-28.35,-23.4,-51.0,-45.95,-11.5,47.78,-2.4,-85.62
Everton,-38.26,-37.2,-25.2,-76.82,-71.15,-33.2,-69.95,6.5,25.4
Liverpool,-52.16,-35.95,5.48,10.85,-140.88,37.6,-66.85,-57.45,-56.6
Manchester City,-72.5,-141.03,-180.9,-226.15,-20.99,-95.82,-109.4,-45.1,11.67
Manchester United,-148.65,-55.33,-137.75,-152.9,-52.15,-155.62,-64.3,-110.9,-230.03
Newcastle United,-21.15,-102.28,36.63,-25.28,-8.7,-37.26,-38.73,-130.5,-171.29
Nottingham Forest,0.4,9.5,14.14,9.85,-17.93,9.75,0.61,-6.12,-190.25
Tottenham,-4.33,16.25,-31.2,-17.2,5.35,-86.0,-97.2,-61.28,-139.15
West Ham,-30.75,-34.19,-42.5,12.22,-87.14,-64.32,-9.29,-70.27,-172.45
Wolverhampton Wanderers,-2.02,5.73,-33.11,-18.29,-89.45,-92.6,-8.39,-5.8,-114.24
Leicester,-22.86,-40.45,-26.05,-33.75,-18.8,-15.8,-5.63,-63.6,33.4
Southampton,27.83,-7.4,16.15,37.1,-36.15,-34.2,-11.0,17.25,-136.65
